,value
2001-01-01,50.7
2001-01-02,110.77
2001-01-03,179.41
2001-01-04,183.22
2001-01-05,89.31
2001-01-06,112.22
2001-01-07,114.25
2001-01-08,365.29
2001-01-09,260.13
2001-01-10,268.23
2001-01-11,140.42
2001-01-12,182.32
2001-01-13,179.62
2001-01-14,132.53
2001-01-15,249.26
2001-01-16,208.63
2001-01-17,262.46
2001-01-18,183.97
2001-01-19,190.07
2001-01-20,71.65
2001-01-21,38.25
2001-01-22,74.13
2001-01-23,70.61
2001-01-24,172.06
2001-01-25,267.58
2001-01-26,230.49
2001-01-27,218.97
2001-01-28,72.76
2001-01-29,124.19
2001-01-30,79.66
2001-01-31,359.91
2001-02-01,87.87
2001-02-02,70.7
2001-02-03,132.39
2001-02-04,92.54
2001-02-05,116.51
2001-02-06,127.85
2001-02-07,222.73
2001-02-08,155.24
2001-02-09,275.37
2001-02-10,119.31
2001-02-11,145.74
2001-02-12,142.66
2001-02-13,172.12
2001-02-14,83.98
2001-02-15,218.28
2001-02-16,91.22
2001-02-17,326.13
2001-02-18,325.44
2001-02-19,88.74
2001-02-20,188.68
2001-02-21,125.88
2001-02-22,410.79
2001-02-23,386.4
2001-02-24,264.24
2001-02-25,0.0
2001-02-26,146.74
2001-02-27,108.16
2001-02-28,269.4
2001-03-01,27.02
2001-03-02,301.65
2001-03-03,210.74
2001-03-04,83.93
2001-03-05,97.38
2001-03-06,515.5
2001-03-07,304.65
2001-03-08,297.09
2001-03-09,276.09
2001-03-10,128.9
2001-03-11,0.0
2001-03-12,257.31
2001-03-13,375.97
2001-03-14,219.17
2001-03-15,243.92
2001-03-16,388.37
2001-03-17,278.7
2001-03-18,125.69
2001-03-19,170.17
2001-03-20,131.59
2001-03-21,170.25
2001-03-22,208.52
2001-03-23,229.67
2001-03-24,323.05
2001-03-25,282.88
2001-03-26,133.54
2001-03-27,331.57
2001-03-28,293.3
2001-03-29,239.3
2001-03-30,254.28
2001-03-31,203.48
2001-04-01,116.06
2001-04-02,255.47
2001-04-03,372.42
2001-04-04,210.15
2001-04-05,448.98
2001-04-06,247.7
2001-04-07,166.27
2001-04-08,233.11
2001-04-09,206.76
2001-04-10,131.43
2001-04-11,447.32
2001-04-12,373.0
2001-04-13,179.79
2001-04-14,188.64
2001-04-15,158.41
2001-04-16,123.61
2001-04-17,142.53
2001-04-18,292.09
2001-04-19,470.81
2001-04-20,281.09
2001-04-21,220.22
2001-04-22,236.82
2001-04-23,171.99
2001-04-24,353.13
2001-04-25,253.69
2001-04-26,146.14
2001-04-27,142.6
2001-04-28,211.59
2001-04-29,87.91
2001-04-30,165.2
2001-05-01,291.82
2001-05-02,256.56
2001-05-03,154.44
2001-05-04,297.6
2001-05-05,161.52
2001-05-06,135.74
2001-05-07,131.3
2001-05-08,207.78
2001-05-09,298.9
2001-05-10,73.65
2001-05-11,284.58
2001-05-12,185.88
2001-05-13,203.82
2001-05-14,127.93
2001-05-15,237.92
2001-05-16,283.88
2001-05-17,439.94
2001-05-18,269.68
2001-05-19,134.73
2001-05-20,97.18
2001-05-21,66.97
2001-05-22,118.82
2001-05-23,260.9
2001-05-24,270.64
2001-05-25,143.39
2001-05-26,202.01
2001-05-27,188.76
2001-05-28,157.03
2001-05-29,25.93
2001-05-30,48.57
2001-05-31,69.17
2001-06-01,108.92
2001-06-02,35.87
2001-06-03,98.71
2001-06-04,0.0
2001-06-05,103.85
2001-06-06,30.5
2001-06-07,189.37
2001-06-08,151.43
2001-06-09,92.45
2001-06-10,216.5
2001-06-11,188.99
2001-06-12,116.75
2001-06-13,294.07
2001-06-14,176.41
2001-06-15,71.63
2001-06-16,230.27
2001-06-17,86.8
2001-06-18,154.86
2001-06-19,59.42
2001-06-20,171.69
2001-06-21,334.59
2001-06-22,209.72
2001-06-23,177.21
2001-06-24,256.2
2001-06-25,0.0
2001-06-26,219.1
2001-06-27,277.58
2001-06-28,261.59
2001-06-29,58.43
2001-06-30,110.96
2001-07-01,85.61
2001-07-02,455.09
2001-07-03,236.09
2001-07-04,48.82
2001-07-05,185.07
2001-07-06,485.0
2001-07-07,307.25
2001-07-08,41.78
2001-07-09,286.51
2001-07-10,232.76
2001-07-11,363.45
2001-07-12,309.52
2001-07-13,220.57
2001-07-14,26.51
2001-07-15,90.39
2001-07-16,373.0
2001-07-17,333.41
2001-07-18,532.24
2001-07-19,155.55
2001-07-20,398.45
2001-07-21,241.91
2001-07-22,254.86
2001-07-23,277.36
2001-07-24,257.76
2001-07-25,224.75
2001-07-26,313.58
2001-07-27,137.07
2001-07-28,287.8
2001-07-29,186.59
2001-07-30,233.19
2001-07-31,333.98
2001-08-01,286.85
2001-08-02,385.73
2001-08-03,548.92
2001-08-04,320.16
2001-08-05,129.21
2001-08-06,166.85
2001-08-07,266.17
2001-08-08,288.12
2001-08-09,320.14
2001-08-10,226.45
2001-08-11,521.37
2001-08-12,157.24
2001-08-13,257.84
2001-08-14,188.57
2001-08-15,318.7
2001-08-16,357.69
2001-08-17,328.49
2001-08-18,106.14
2001-08-19,414.47
2001-08-20,334.51
2001-08-21,35.28
2001-08-22,192.21
2001-08-23,360.2
2001-08-24,321.76
2001-08-25,372.42
2001-08-26,126.52
2001-08-27,80.01
2001-08-28,451.8
2001-08-29,304.0
2001-08-30,480.49
2001-08-31,509.81
2001-09-01,315.05
2001-09-02,83.36
2001-09-03,229.56
2001-09-04,182.06
2001-09-05,187.76
2001-09-06,559.55
2001-09-07,275.18
2001-09-08,189.26
2001-09-09,326.04
2001-09-10,134.53
2001-09-11,352.33
2001-09-12,506.48
2001-09-13,837.57
2001-09-14,465.24
2001-09-15,456.21
2001-09-16,733.89
2001-09-17,551.86
2001-09-18,753.17
2001-09-19,696.53
2001-09-20,723.61
2001-09-21,424.42
2001-09-22,697.03
2001-09-23,543.24
2001-09-24,634.7
2001-09-25,541.83
2001-09-26,457.38
2001-09-27,413.52
2001-09-28,610.3
2001-09-29,640.45
2001-09-30,590.91
2001-10-01,445.72
2001-10-02,930.71
2001-10-03,552.25
2001-10-04,226.37
2001-10-05,760.16
2001-10-06,407.07
2001-10-07,695.69
2001-10-08,357.15
2001-10-09,427.41
2001-10-10,385.07
2001-10-11,239.88
2001-10-12,484.91
2001-10-13,340.03
2001-10-14,262.94
2001-10-15,222.34
2001-10-16,600.61
2001-10-17,314.67
2001-10-18,583.56
2001-10-19,362.2
2001-10-20,183.87
2001-10-21,260.46
2001-10-22,376.09
2001-10-23,367.22
2001-10-24,354.75
2001-10-25,325.28
2001-10-26,279.88
2001-10-27,438.31
2001-10-28,120.23
2001-10-29,241.71
2001-10-30,226.56
2001-10-31,360.64
2001-11-01,146.53
2001-11-02,599.18
2001-11-03,298.38
2001-11-04,463.65
2001-11-05,293.89
2001-11-06,771.45
2001-11-07,630.99
2001-11-08,450.65
2001-11-09,496.03
2001-11-10,254.8
2001-11-11,391.91
2001-11-12,214.79
2001-11-13,429.89
2001-11-14,241.75
2001-11-15,215.82
2001-11-16,396.37
2001-11-17,450.57
2001-11-18,197.96
2001-11-19,346.46
2001-11-20,344.44
2001-11-21,283.17
2001-11-22,225.86
2001-11-23,438.01
2001-11-24,228.34
2001-11-25,390.79
2001-11-26,384.67
2001-11-27,268.64
2001-11-28,468.26
2001-11-29,166.7
2001-11-30,172.54
2001-12-01,216.24
2001-12-02,172.72
2001-12-03,160.95
2001-12-04,827.08
2001-12-05,326.88
2001-12-06,287.9
2001-12-07,113.88
2001-12-08,106.31
2001-12-09,253.81
2001-12-10,206.48
2001-12-11,66.01
2001-12-12,265.22
2001-12-13,125.74
2001-12-14,217.04
2001-12-15,93.14
2001-12-16,237.55
2001-12-17,356.93
2001-12-18,248.23
2001-12-19,270.83
2001-12-20,499.21
2001-12-21,121.18
2001-12-22,73.49
2001-12-23,295.08
2001-12-24,85.73
2001-12-25,0.0
2001-12-26,0.0
2001-12-27,141.61
2001-12-28,310.42
2001-12-29,532.76
2001-12-30,547.98
2001-12-31,265.21
2002-01-01,189.5
2002-01-02,261.35
2002-01-03,379.43
2002-01-04,326.82
2002-01-05,197.01
2002-01-06,523.17
2002-01-07,383.24
2002-01-08,330.39
2002-01-09,158.67
2002-01-10,216.14
2002-01-11,278.15
2002-01-12,206.24
2002-01-13,109.93
2002-01-14,202.35
2002-01-15,204.83
2002-01-16,106.79
2002-01-17,246.95
2002-01-18,215.62
2002-01-19,149.33
2002-01-20,371.41
2002-01-21,198.04
2002-01-22,231.44
2002-01-23,183.17
2002-01-24,83.74
2002-01-25,192.07
2002-01-26,114.94
2002-01-27,416.86
2002-01-28,176.82
2002-01-29,46.66
2002-01-30,231.21
2002-01-31,395.82
2002-02-01,236.62
2002-02-02,151.34
2002-02-03,243.24
2002-02-04,384.32
2002-02-05,426.41
2002-02-06,236.95
2002-02-07,195.37
2002-02-08,278.44
2002-02-09,113.83
2002-02-10,240.31
2002-02-11,149.45
2002-02-12,188.48
2002-02-13,138.85
2002-02-14,145.22
2002-02-15,93.22
2002-02-16,181.88
2002-02-17,76.45
2002-02-18,56.53
2002-02-19,251.43
2002-02-20,111.97
2002-02-21,189.37
2002-02-22,282.17
2002-02-23,191.05
2002-02-24,172.04
2002-02-25,241.74
2002-02-26,105.94
2002-02-27,180.09
2002-02-28,195.15
2002-03-01,214.63
2002-03-02,159.38
2002-03-03,262.11
2002-03-04,218.19
2002-03-05,127.09
2002-03-06,314.0
2002-03-07,56.7
2002-03-08,444.53
2002-03-09,259.23
2002-03-10,144.06
2002-03-11,81.43
2002-03-12,229.33
2002-03-13,305.94
2002-03-14,144.87
