Variable,N,Mean,Std,Min,Median,Max,Skewness,Kurtosis,Jarque-Bera,JB p,ADF,ADF p
Carbon_Price,6113,24.9257,26.0249,0.01,14.37,98.01,1.4448,3.7275,2261.4207,0.0,-0.3589,0.9167
Europe_Coal,6113,105.4336,58.042,38.6,93.85,438.35,2.6729,11.8204,27094.9372,0.0,-2.2033,0.2051
TTF_Natural_Gas,6113,27.8546,31.7508,3.51,18.09,339.196,4.2034,24.1721,132175.9934,0.0,-2.8458,0.052
Henry_Hub_Gas,6113,3.8402,1.9047,1.482,3.279,13.577,2.048,8.0082,10661.902,0.0,-2.9233,0.0427
Brent_Crude,6113,78.8377,24.8896,19.33,77.04,146.08,0.1241,2.0619,239.842,0.0,-2.058,0.2617
Euro_Stoxx_50,6113,3292.1188,627.3471,1809.98,3273.1101,5100.8999,0.3498,2.7973,135.1011,0.0,-1.5527,0.5073
DAX,6113,10381.6956,3516.7484,3666.4099,10511.0195,18869.3594,0.1324,2.0174,263.7709,0.0,-0.2558,0.9315
VIX,6113,20.0662,9.1202,9.14,17.61,82.69,2.3832,11.3442,23520.9326,0.0,-5.0999,0.0
EURUSD,6113,1.2278,0.1389,0.9596,1.1883,1.5988,0.524,2.2978,405.2866,0.0,-1.9138,0.3256
EPU_US,6113,129.2608,89.2747,3.32,106.26,1026.38,2.4986,13.2297,33014.7826,0.0,-4.8205,0.0
EPU_UK,6113,309.5002,199.5828,0.0,265.86,2660.72,2.409,16.537,52587.8193,0.0,-5.5399,0.0
GPR,6113,96.6637,46.6464,3.5657,88.7295,540.8274,1.959,12.0793,24906.5627,0.0,-6.274,0.0
EU_10Y_Yield,6113,1.6094,1.5219,-0.8152,1.6559,4.7763,0.2751,1.8059,440.2983,0.0,-1.7179,0.4219
Policy,6113,2.869,0.818,0.0,3.0,5.0055,0.0195,2.4792,69.4681,0.0,-2.5816,0.0969
